	tag	embedX	embedY	counts
0	petrol	0.4451835	0.6780516	209
1	engine	0.47940874	0.66607285	619
2	diesel	0.4596817	0.6769191	369
3	engines	0.47049832	0.6723086	118
4	small	-0.1363687	-0.068695545	301
5	cylinder	0.5550646	0.54794365	74
6	single	0.10569563	-0.3608229	325
7	constant	0.3140519	-0.39885345	351
8	starts	-0.06990132	-0.24278039	70
9	false	0.14278507	-0.63341373	67
10	automatic	0.40271628	0.13250393	83
11	multiple	0.10654653	-0.49296218	40
12	motor	0.40270105	0.615459	918
13	short	-0.03150147	-0.28432217	106
14	long	-0.111320466	-0.27357697	112
15	wind	0.2564426	-0.18708906	138
16	manual	0.48102504	0.014989648	143
17	speed	0.16676988	-0.115193665	184
18	steam	0.44211784	0.5938988	313
19	type	0.24074541	-0.23519433	109
20	machine	0.40246	0.12912394	456
21	machinery	0.34691256	0.32549027	133
22	industry	-0.22099723	-0.6034408	316
23	light	0.18839602	-0.17968854	289
24	occasional	0.33834568	-0.4105486	245
25	atmosphere	0.28451374	-0.42235962	1496
26	shop	-0.15485863	0.2624769	91
27	indistinct	0.90131694	0.048663698	150
28	speech	0.013652865	-0.61116487	345
29	general	-0.41149384	-0.618498	427
30	busy	-0.16933796	0.037223045	166
31	perspective	0.13617	-0.5335696	286
32	west	-0.5075765	-0.12022337	53
33	africa	-0.65211487	-0.45443618	68
34	night	-0.12600516	-0.28682074	88
35	dawn	-0.00802625	-0.008004636	31
36	background	0.14586778	-0.4831984	256
37	morse	0.64370954	-0.0030501187	38
38	static	0.43215552	-0.1126723	37
39	radio	-0.26775643	-0.87607336	47
40	code	0.35154542	-0.29481575	37
41	tone	0.36592287	-0.49646682	121
42	sound	0.48044154	-0.47493386	449
43	electronic	0.4696996	-0.007027775	197
44	sounds	0.5160297	-0.46349144	390
45	tape	0.4215822	-0.18455157	216
46	printing	0.43898353	0.13428208	62
47	telegraph	0.6081968	-0.16609643	47
48	post	-0.2754083	-0.4046295	102
49	office	-0.3680027	-0.49609792	182
50	equipment	0.36377168	0.2504123	110
51	receiver	0.30383733	-0.8997648	74
52	portable	0.50058246	0.094808094	31
53	coal	0.016097683	0.43019205	66
54	mining	-0.035096772	0.41840604	39
55	locomotive	0.41876343	0.6619159	71
56	gates	-0.1521614	-0.03538803	203
57	open	-0.2505085	-0.23939565	297
58	room	-0.06470116	0.04676441	156
59	belt	0.21212678	0.08331323	47
60	drill	0.2707474	0.22378117	77
61	distant	0.12958267	-0.22217727	362
62	bells	0.8184014	-0.095709145	386
63	bell	0.050042227	0.022531804	370
64	wrestling	-0.7389792	0.4097044	47
65	quiet	0.0985581	-0.32877868	169
66	indoor	-0.605836	0.4119579	91
67	applause	0.74801606	-0.53565	279
68	announcement	-0.21095702	-0.59274083	56
69	crowd	0.72567225	-0.5581486	423
70	reaction	0.33892572	-0.4740615	60
71	public	-0.28593695	-0.50168437	97
72	century	-0.4570549	-0.2968297	96
73	gear	0.33592117	0.24080496	71
74	noise	0.57836735	-0.35369343	195
75	great	-0.34270826	-0.3142205	31
76	large	-0.13799281	-0.075796366	259
77	continuous	0.29707888	-0.33515787	82
78	pumps	0.48234332	0.41878092	47
79	line	-0.13197508	-0.15106134	99
80	heavy	0.1435099	-0.13452487	325
81	laughter	0.72955024	-0.50603706	82
82	chatter	0.61539984	-0.32062006	280
83	effects	0.27510908	-0.50438297	500
84	medium	0.19558714	-0.2736687	163
85	domestic	-0.18454213	-0.5565388	315
86	electric	0.41423368	0.432465	296
87	with	-0.11472879	-0.3093977	103
88	start	-0.14723535	-0.31652254	157
89	metal	0.1877328	0.22292784	235
90	steel	0.18123253	0.30290127	50
91	boxing	-0.75325614	0.40323082	35
92	sports	-0.678321	0.32804576	305
93	cash	-0.06773282	-0.5625288	84
94	register	-0.010094177	-0.45179772	35
95	voices	0.49166054	-0.5586496	193
96	interiors	0.514408	0.25473797	196
